Continent,Pays,Année,Superficie du vignoble,Unité
Europe,Albanie,2010,9712,ha
Europe,Albanie,2011,10073,ha
Europe,Albanie,2012,10136,ha
Europe,Albanie,2013,10297,ha
Europe,Albanie,2014,10347,ha
Europe,Albanie,2015,10633,ha
Europe,Albanie,2016,10762,ha
Europe,Albanie,2017,11497,ha
Europe,Albanie,2018,10942,ha
Europe,Albanie,2019,11024,ha
Afrique,Algérie,1995,85400,ha
Afrique,Algérie,1996,62020,ha
Afrique,Algérie,1997,56490,ha
Afrique,Algérie,1998,55720,ha
Afrique,Algérie,1999,55000,ha
Afrique,Algérie,2000,54847,ha
Afrique,Algérie,2001,55309,ha
Afrique,Algérie,2002,58265,ha
Afrique,Algérie,2003,65000,ha
Afrique,Algérie,2004,67188,ha
Afrique,Algérie,2005,74855,ha
Afrique,Algérie,2006,80826,ha
Afrique,Algérie,2007,82511,ha
Afrique,Algérie,2008,79269,ha
Afrique,Algérie,2009,74293,ha
Afrique,Algérie,2010,74412,ha
Afrique,Algérie,2011,77445,ha
Afrique,Algérie,2012,79673,ha
Afrique,Algérie,2013,78853,ha
Afrique,Algérie,2014,71398,ha
Afrique,Algérie,2015,70927,ha
Afrique,Algérie,2016,75591,ha
Afrique,Algérie,2017,74787,ha
Afrique,Algérie,2018,74579,ha
Afrique,Algérie,2019,66302,ha
Europe,Allemagne,1995,105634,ha
Europe,Allemagne,1996,105848,ha
Europe,Allemagne,1997,105067,ha
Europe,Allemagne,1998,102517,ha
Europe,Allemagne,1999,104260,ha
Europe,Allemagne,2000,104000,ha
Europe,Allemagne,2001,103000,ha
Europe,Allemagne,2002,102000,ha
Europe,Allemagne,2003,102470,ha
Europe,Allemagne,2004,102230,ha
Europe,Allemagne,2005,102040,ha
Europe,Allemagne,2006,102000,ha
Europe,Allemagne,2007,102026,ha
Europe,Allemagne,2008,102340,ha
Europe,Allemagne,2009,102276,ha
Europe,Allemagne,2010,102168,ha
Europe,Allemagne,2011,102104,ha
Europe,Allemagne,2012,102172,ha
Europe,Allemagne,2013,102427,ha
Europe,Allemagne,2014,102439,ha
Europe,Allemagne,2015,102543,ha
Europe,Allemagne,2016,102493,ha
Europe,Allemagne,2017,102592,ha
Europe,Allemagne,2018,102873,ha
Europe,Allemagne,2019,103079,ha
Asie,Arabie Saoudite,1995,11145,ha
Asie,Arabie Saoudite,1996,11551,ha
Asie,Arabie Saoudite,1997,12034,ha
Asie,Arabie Saoudite,1998,12074,ha
Asie,Arabie Saoudite,1999,9096,ha
Asie,Arabie Saoudite,2000,8869,ha
Asie,Arabie Saoudite,2001,7487,ha
Asie,Arabie Saoudite,2002,7521,ha
Asie,Arabie Saoudite,2003,8268,ha
Asie,Arabie Saoudite,2004,10226,ha
Asie,Arabie Saoudite,2005,11255,ha
Asie,Arabie Saoudite,2006,12150,ha
Asie,Arabie Saoudite,2007,12551,ha
Asie,Arabie Saoudite,2008,11546,ha
Asie,Arabie Saoudite,2009,11867,ha
Asie,Arabie Saoudite,2010,13312,ha
Asie,Arabie Saoudite,2011,15359,ha
Asie,Arabie Saoudite,2012,13339,ha
Asie,Arabie Saoudite,2013,13116,ha
Asie,Arabie Saoudite,2014,4103,ha
Asie,Arabie Saoudite,2015,4091,ha
Asie,Arabie Saoudite,2016,4081,ha
Asie,Arabie Saoudite,2017,4069,ha
Asie,Arabie Saoudite,2018,4061,ha
Asie,Arabie Saoudite,2019,5780,ha
Amérique,Argentine,1995,210390,ha
Amérique,Argentine,1996,210635,ha
Amérique,Argentine,1997,209042,ha
Amérique,Argentine,1998,210448,ha
Amérique,Argentine,1999,208137,ha
Amérique,Argentine,2000,201113,ha
Amérique,Argentine,2001,204100,ha
Amérique,Argentine,2002,207980,ha
Amérique,Argentine,2003,210500,ha
Amérique,Argentine,2004,212700,ha
Amérique,Argentine,2005,218600,ha
Amérique,Argentine,2006,223034,ha
Amérique,Argentine,2007,225845,ha
Amérique,Argentine,2008,226450,ha
Amérique,Argentine,2009,229000,ha
Amérique,Argentine,2010,217751,ha
Amérique,Argentine,2011,219476,ha
Amérique,Argentine,2012,221909,ha
Amérique,Argentine,2013,223811,ha
Amérique,Argentine,2014,227645,ha
Amérique,Argentine,2015,224967,ha
Amérique,Argentine,2016,224258,ha
Amérique,Argentine,2017,221568,ha
Amérique,Argentine,2018,218233,ha
Amérique,Argentine,2019,215169,ha
Asie,Arménie,1995,24403,ha
Asie,Arménie,1996,23543,ha
Asie,Arménie,1997,18490,ha
Asie,Arménie,1998,16340,ha
Asie,Arménie,1999,16207,ha
Asie,Arménie,2000,15000,ha
Asie,Arménie,2001,15388,ha
Asie,Arménie,2002,13367,ha
Asie,Arménie,2003,13054,ha
Asie,Arménie,2004,14857,ha
Asie,Arménie,2005,14900,ha
Asie,Arménie,2006,15746,ha
Asie,Arménie,2007,15888,ha
Asie,Arménie,2008,16796,ha
Asie,Arménie,2009,16480,ha
Asie,Arménie,2010,17400,ha
Asie,Arménie,2011,16300,ha
Asie,Arménie,2012,17415,ha
Asie,Arménie,2013,17500,ha
Asie,Arménie,2014,17215,ha
Asie,Arménie,2015,17296,ha
Asie,Arménie,2016,17100,ha
Asie,Arménie,2017,15800,ha
Asie,Arménie,2018,16090,ha
Asie,Arménie,2019,16007,ha
Océanie,Australie,1995,72869,ha
Océanie,Australie,1996,80559,ha
Océanie,Australie,1997,89797,ha
Océanie,Australie,1998,98612,ha
Océanie,Australie,1999,122915,ha
Océanie,Australie,2000,139861,ha
Océanie,Australie,2001,148258,ha
Océanie,Australie,2002,158594,ha
Océanie,Australie,2003,157492,ha
Océanie,Australie,2004,164181,ha
Océanie,Australie,2005,167000,ha
Océanie,Australie,2006,169000,ha
Océanie,Australie,2007,173800,ha
Océanie,Australie,2008,172700,ha
Océanie,Australie,2009,177300,ha
Océanie,Australie,2010,170700,ha
Océanie,Australie,2011,170450,ha
Océanie,Australie,2012,162400,ha
Océanie,Australie,2013,156537,ha
Océanie,Australie,2014,153723,ha
Océanie,Australie,2015,147474,ha
Océanie,Australie,2016,145341,ha
Océanie,Australie,2017,144785,ha
Océanie,Australie,2018,146128,ha
Océanie,Australie,2019,146244,ha
Europe,Autriche,1995,51687,ha
Europe,Autriche,1996,51687,ha
Europe,Autriche,1997,49221,ha
Europe,Autriche,1998,49260,ha
Europe,Autriche,1999,49807,ha
Europe,Autriche,2000,50645,ha
Europe,Autriche,2001,49264,ha
Europe,Autriche,2002,47593,ha
Europe,Autriche,2003,47966,ha
Europe,Autriche,2004,49090,ha
Europe,Autriche,2005,51678,ha
Europe,Autriche,2006,49663,ha
Europe,Autriche,2007,49947,ha
Europe,Autriche,2008,47818,ha
Europe,Autriche,2009,47200,ha
Europe,Autriche,2010,45950,ha
Europe,Autriche,2011,44138,ha
Europe,Autriche,2012,44000,ha
Europe,Autriche,2013,43990,ha
Europe,Autriche,2014,44790,ha
Europe,Autriche,2015,45438,ha
Europe,Autriche,2016,46487,ha
Europe,Autriche,2017,48054,ha
Europe,Autriche,2018,48646,ha
Europe,Autriche,2019,48491,ha
Asie,Azerbaïdjan,1995,84227,ha
Asie,Azerbaïdjan,1996,83268,ha
Asie,Azerbaïdjan,1997,66317,ha
Asie,Azerbaïdjan,1998,35077,ha
Asie,Azerbaïdjan,1999,20451,ha
Asie,Azerbaïdjan,2000,14218,ha
Asie,Azerbaïdjan,2001,11464,ha
Asie,Azerbaïdjan,2002,9000,ha
Asie,Azerbaïdjan,2003,7708,ha
Asie,Azerbaïdjan,2004,8000,ha
Asie,Azerbaïdjan,2005,9600,ha
Asie,Azerbaïdjan,2006,10000,ha
Asie,Azerbaïdjan,2007,11100,ha
Asie,Azerbaïdjan,2008,13300,ha
Asie,Azerbaïdjan,2009,15000,ha
Asie,Azerbaïdjan,2010,15400,ha
Asie,Azerbaïdjan,2011,15900,ha
Asie,Azerbaïdjan,2012,16327,ha
Asie,Azerbaïdjan,2013,16115,ha
Asie,Azerbaïdjan,2014,16115,ha
Asie,Azerbaïdjan,2015,16100,ha
Asie,Azerbaïdjan,2016,16300,ha
Asie,Azerbaïdjan,2017,16528,ha
Asie,Azerbaïdjan,2018,16792,ha
Asie,Azerbaïdjan,2019,16960,ha
Europe,Belgique,2011,119,ha
Europe,Belgique,2012,153,ha
Europe,Belgique,2013,165,ha
Europe,Belgique,2014,171,ha
Europe,Belgique,2015,197,ha
Europe,Belgique,2016,254,ha
Europe,Belgique,2017,352,ha
Europe,Belgique,2018,389,ha
Europe,Belgique,2019,445,ha
Amérique,"Bolivie, Etat Plurinational ",1995,3755,ha
Amérique,"Bolivie, Etat Plurinational ",1996,3869,ha
Amérique,"Bolivie, Etat Plurinational ",1997,4071,ha
Amérique,"Bolivie, Etat Plurinational ",1998,3970,ha
Amérique,"Bolivie, Etat Plurinational ",1999,3899,ha
Amérique,"Bolivie, Etat Plurinational ",2000,3779,ha
Amérique,"Bolivie, Etat Plurinational ",2001,2155,ha
Amérique,"Bolivie, Etat Plurinational ",2002,2549,ha
Amérique,"Bolivie, Etat Plurinational ",2003,4000,ha
Amérique,"Bolivie, Etat Plurinational ",2004,5268,ha
Amérique,"Bolivie, Etat Plurinational ",2005,5265,ha
Amérique,"Bolivie, Etat Plurinational ",2006,5313,ha
Amérique,"Bolivie, Etat Plurinational ",2007,5405,ha
Amérique,"Bolivie, Etat Plurinational ",2008,5375,ha
Amérique,"Bolivie, Etat Plurinational ",2009,5590,ha
Amérique,"Bolivie, Etat Plurinational ",2010,4439,ha
Amérique,"Bolivie, Etat Plurinational ",2011,4452,ha
Amérique,"Bolivie, Etat Plurinational ",2012,4786,ha
Amérique,"Bolivie, Etat Plurinational ",2013,4858,ha
Amérique,"Bolivie, Etat Plurinational ",2014,3200,ha
Amérique,"Bolivie, Etat Plurinational ",2015,3244,ha
Amérique,"Bolivie, Etat Plurinational ",2016,3283,ha
Amérique,"Bolivie, Etat Plurinational ",2017,3426,ha
Amérique,"Bolivie, Etat Plurinational ",2018,3500,ha
Amérique,"Bolivie, Etat Plurinational ",2019,3577,ha
Europe,Bosnie-herzégovine,1995,3763,ha
Europe,Bosnie-herzégovine,1996,3548,ha
Europe,Bosnie-herzégovine,1997,3440,ha
Europe,Bosnie-herzégovine,1998,3870,ha
Europe,Bosnie-herzégovine,1999,3763,ha
Europe,Bosnie-herzégovine,2000,3870,ha
Europe,Bosnie-herzégovine,2001,3870,ha
Europe,Bosnie-herzégovine,2002,3870,ha
Europe,Bosnie-herzégovine,2003,5375,ha
Europe,Bosnie-herzégovine,2004,5375,ha
Europe,Bosnie-herzégovine,2005,5590,ha
Europe,Bosnie-herzégovine,2006,5698,ha
Europe,Bosnie-herzégovine,2007,5483,ha
Europe,Bosnie-herzégovine,2008,5913,ha
Europe,Bosnie-herzégovine,2009,6235,ha
Europe,Bosnie-herzégovine,2010,5732,ha
Europe,Bosnie-herzégovine,2011,5617,ha
Europe,Bosnie-herzégovine,2012,5617,ha
Europe,Bosnie-herzégovine,2013,5514,ha
Europe,Bosnie-herzégovine,2014,5822,ha
Europe,Bosnie-herzégovine,2015,4888,ha
Europe,Bosnie-herzégovine,2016,5108,ha
Europe,Bosnie-herzégovine,2017,4773,ha
Europe,Bosnie-herzégovine,2018,4869,ha
Europe,Bosnie-herzégovine,2019,4679,ha
Amérique,Brésil,1995,61339,ha
Amérique,Brésil,1996,56247,ha
Amérique,Brésil,1997,57036,ha
Amérique,Brésil,1998,61099,ha
Amérique,Brésil,1999,60528,ha
Amérique,Brésil,2000,63000,ha
Amérique,Brésil,2001,68585,ha
Amérique,Brésil,2002,70305,ha
Amérique,Brésil,2003,73423,ha
Amérique,Brésil,2004,76433,ha
Amérique,Brésil,2005,78690,ha
Amérique,Brésil,2006,82924,ha
Amérique,Brésil,2007,86158,ha
Amérique,Brésil,2008,91896,ha
Amérique,Brésil,2009,90860,ha
Amérique,Brésil,2010,92070,ha
Amérique,Brésil,2011,90107,ha
Amérique,Brésil,2012,90958,ha
Amérique,Brésil,2013,89768,ha
Amérique,Brésil,2014,88634,ha
Amérique,Brésil,2015,87003,ha
Amérique,Brésil,2016,86408,ha
Amérique,Brésil,2017,83880,ha
Amérique,Brésil,2018,81647,ha
Amérique,Brésil,2019,81411,ha
Europe,Bulgarie,1995,118000,ha
Europe,Bulgarie,1996,110000,ha
Europe,Bulgarie,1997,110000,ha
Europe,Bulgarie,1998,117000,ha
Europe,Bulgarie,1999,114000,ha
Europe,Bulgarie,2000,115000,ha
Europe,Bulgarie,2001,113499,ha
Europe,Bulgarie,2002,108995,ha
Europe,Bulgarie,2003,98411,ha
Europe,Bulgarie,2004,97210,ha
Europe,Bulgarie,2005,95183,ha
Europe,Bulgarie,2006,101948,ha
Europe,Bulgarie,2007,93324,ha
Europe,Bulgarie,2008,85954,ha
Europe,Bulgarie,2009,80681,ha
Europe,Bulgarie,2010,79492,ha
Europe,Bulgarie,2011,74794,ha
Europe,Bulgarie,2012,67269,ha
Europe,Bulgarie,2013,64400,ha
Europe,Bulgarie,2014,63000,ha
Europe,Bulgarie,2015,64100,ha
Europe,Bulgarie,2016,64200,ha
Europe,Bulgarie,2017,65190,ha
Europe,Bulgarie,2018,66848,ha
Europe,Bulgarie,2019,67055,ha
Europe,Bélarus,1995,3000,ha
Europe,Bélarus,1996,5000,ha
Europe,Bélarus,1997,4000,ha
Europe,Bélarus,1998,4000,ha
Europe,Bélarus,1999,2000,ha
Europe,Bélarus,2006,1236,ha
Europe,Bélarus,2007,2150,ha
Europe,Bélarus,2008,3763,ha
Europe,Bélarus,2009,2150,ha
Europe,Bélarus,2010,3225,ha
Europe,Bélarus,2011,3870,ha
Europe,Bélarus,2012,3763,ha
Europe,Bélarus,2013,3763,ha
Europe,Bélarus,2014,3763,ha
Europe,Bélarus,2015,4101,ha
Europe,Bélarus,2016,4549,ha
Europe,Bélarus,2017,4504,ha
Europe,Bélarus,2018,4683,ha
Europe,Bélarus,2019,4860,ha
Amérique,Canada,1995,7183,ha
Amérique,Canada,1996,7509,ha
Amérique,Canada,1997,7371,ha
Amérique,Canada,1998,7675,ha
Amérique,Canada,1999,8319,ha
Amérique,Canada,2000,8349,ha
Amérique,Canada,2001,10582,ha
Amérique,Canada,2002,10564,ha
Amérique,Canada,2003,10647,ha
Amérique,Canada,2004,10568,ha
Amérique,Canada,2005,10595,ha
Amérique,Canada,2006,11793,ha
Amérique,Canada,2007,11505,ha
Amérique,Canada,2008,10568,ha
Amérique,Canada,2009,12412,ha
Amérique,Canada,2010,11648,ha
Amérique,Canada,2011,11784,ha
Amérique,Canada,2012,12156,ha
Amérique,Canada,2013,12312,ha
Amérique,Canada,2014,12132,ha
Amérique,Canada,2015,11933,ha
Amérique,Canada,2016,12488,ha
Amérique,Canada,2017,12457,ha
Amérique,Canada,2018,12399,ha
Amérique,Canada,2019,12777,ha
Amérique,Chili,1995,122110,ha
Amérique,Chili,1996,124872,ha
Amérique,Chili,1997,132440,ha
Amérique,Chili,1998,144429,ha
Amérique,Chili,1999,157554,ha
Amérique,Chili,2000,174451,ha
Amérique,Chili,2001,181000,ha
Amérique,Chili,2002,184000,ha
Amérique,Chili,2003,185000,ha
Amérique,Chili,2004,189000,ha
Amérique,Chili,2005,193000,ha
Amérique,Chili,2006,195479,ha
Amérique,Chili,2007,196360,ha
Amérique,Chili,2008,198123,ha
Amérique,Chili,2009,199000,ha
Amérique,Chili,2010,204250,ha
Amérique,Chili,2011,201324,ha
Amérique,Chili,2012,204495,ha
Amérique,Chili,2013,206509,ha
Amérique,Chili,2014,212870,ha
Amérique,Chili,2015,213954,ha
Amérique,Chili,2016,209040,ha
Amérique,Chili,2017,207283,ha
Amérique,Chili,2018,208171,ha
Amérique,Chili,2019,210008,ha
Asie,Chine,1995,161650,ha
Asie,Chine,1996,162699,ha
Asie,Chine,1997,167724,ha
Asie,Chine,1998,188638,ha
Asie,Chine,1999,236592,ha
Asie,Chine,2000,300022,ha
Asie,Chine,2001,354040,ha
Asie,Chine,2002,415520,ha
Asie,Chine,2003,446260,ha
Asie,Chine,2004,438840,ha
Asie,Chine,2005,432480,ha
Asie,Chine,2006,444140,ha
Asie,Chine,2007,464280,ha
Asie,Chine,2008,478060,ha
Asie,Chine,2009,522580,ha
Asie,Chine,2010,551658,ha
Asie,Chine,2011,591551,ha
Asie,Chine,2012,658706,ha
Asie,Chine,2013,695063,ha
Asie,Chine,2014,740729,ha
Asie,Chine,2015,770141,ha
Asie,Chine,2016,769926,ha
Asie,Chine,2017,759541,ha
Asie,Chine,2018,779483,ha
Asie,Chine,2019,780665,ha
Asie,Chypre,1995,20190,ha
Asie,Chypre,1996,20140,ha
Asie,Chypre,1997,19340,ha
Asie,Chypre,1998,19870,ha
Asie,Chypre,1999,19040,ha
Asie,Chypre,2000,19260,ha
Asie,Chypre,2001,17986,ha
Asie,Chypre,2002,17946,ha
Asie,Chypre,2003,17450,ha
Asie,Chypre,2004,16000,ha
Asie,Chypre,2005,15500,ha
Asie,Chypre,2006,12500,ha
Asie,Chypre,2007,15300,ha
Asie,Chypre,2008,13600,ha
Asie,Chypre,2009,10971,ha
Asie,Chypre,2010,9783,ha
Asie,Chypre,2011,9066,ha
Asie,Chypre,2012,9066,ha
Asie,Chypre,2013,8605,ha
Asie,Chypre,2014,8417,ha
Asie,Chypre,2015,8042,ha
Asie,Chypre,2016,7908,ha
Asie,Chypre,2017,7873,ha
Asie,Chypre,2018,7798,ha
Asie,Chypre,2019,7826,ha
Amérique,Colombie,1995,1464,ha
Amérique,Colombie,1996,1355,ha
Amérique,Colombie,1997,1219,ha
Amérique,Colombie,1998,1236,ha
Amérique,Colombie,1999,1321,ha
Amérique,Colombie,2000,1104,ha
Amérique,Colombie,2001,1341,ha
Amérique,Colombie,2002,1236,ha
Amérique,Colombie,2003,1499,ha
Amérique,Colombie,2004,1428,ha
Amérique,Colombie,2005,2105,ha
Amérique,Colombie,2006,2308,ha
Amérique,Colombie,2007,2556,ha
Amérique,Colombie,2008,2574,ha
Amérique,Colombie,2009,2772,ha
Amérique,Colombie,2010,2768,ha
Amérique,Colombie,2011,2422,ha
Amérique,Colombie,2012,2404,ha
Amérique,Colombie,2013,2423,ha
Amérique,Colombie,2014,2338,ha
Amérique,Colombie,2015,2380,ha
Amérique,Colombie,2016,2592,ha
Amérique,Colombie,2017,2767,ha
Amérique,Colombie,2018,3973,ha
Amérique,Colombie,2019,4292,ha
Asie,"Corée, République",1995,27982,ha
Asie,"Corée, République",1996,29236,ha
Asie,"Corée, République",1997,30412,ha
Asie,"Corée, République",1998,32111,ha
Asie,"Corée, République",1999,32827,ha
Asie,"Corée, République",2000,31390,ha
Asie,"Corée, République",2001,28813,ha
Asie,"Corée, République",2002,27958,ha
Asie,"Corée, République",2003,26660,ha
Asie,"Corée, République",2004,24618,ha
Asie,"Corée, République",2005,23100,ha
Asie,"Corée, République",2006,20160,ha
Asie,"Corée, République",2007,19740,ha
Asie,"Corée, République",2008,19110,ha
Asie,"Corée, République",2009,19346,ha
Asie,"Corée, République",2010,18890,ha
Asie,"Corée, République",2011,18753,ha
Asie,"Corée, République",2012,18470,ha
Asie,"Corée, République",2013,18201,ha
Asie,"Corée, République",2014,17574,ha
Asie,"Corée, République",2015,16552,ha
Asie,"Corée, République",2016,16067,ha
Asie,"Corée, République",2017,14090,ha
Asie,"Corée, République",2018,13755,ha
Asie,"Corée, République",2019,12870,ha
Europe,Croatie,1995,56084,ha
Europe,Croatie,1996,58050,ha
Europe,Croatie,1997,57486,ha
Europe,Croatie,1998,59420,ha
Europe,Croatie,1999,58796,ha
Europe,Croatie,2000,63425,ha
Europe,Croatie,2001,62000,ha
Europe,Croatie,2002,62350,ha
Europe,Croatie,2003,61376,ha
Europe,Croatie,2004,53831,ha
Europe,Croatie,2005,31895,ha
Europe,Croatie,2006,33073,ha
Europe,Croatie,2007,34888,ha
Europe,Croatie,2008,36272,ha
Europe,Croatie,2009,36959,ha
Europe,Croatie,2010,35162,ha
Europe,Croatie,2011,34921,ha
Europe,Croatie,2012,31430,ha
Europe,Croatie,2013,28058,ha
Europe,Croatie,2014,27680,ha
Europe,Croatie,2015,27506,ha
Europe,Croatie,2016,25155,ha
Europe,Croatie,2017,23543,ha
Europe,Croatie,2018,22050,ha
Europe,Croatie,2019,21311,ha
Amérique,Cuba,1999,2526,ha
Amérique,Cuba,2000,2580,ha
Amérique,Cuba,2001,2473,ha
Amérique,Cuba,2002,1935,ha
Amérique,Cuba,2003,1989,ha
Amérique,Cuba,2004,1828,ha
Amérique,Cuba,2005,1828,ha
Amérique,Cuba,2006,1720,ha
Amérique,Cuba,2007,1828,ha
Amérique,Cuba,2008,1828,ha
Amérique,Cuba,2009,1720,ha
Amérique,Cuba,2010,1828,ha
Amérique,Cuba,2011,1720,ha
Amérique,Cuba,2012,1828,ha
Amérique,Cuba,2013,1828,ha
Amérique,Cuba,2014,1774,ha
Amérique,Cuba,2015,1734,ha
Amérique,Cuba,2016,1782,ha
Amérique,Cuba,2017,1797,ha
Amérique,Cuba,2018,1800,ha
Amérique,Cuba,2019,1802,ha
Afrique,Egypte,1995,53000,ha
Afrique,Egypte,1996,53700,ha
Afrique,Egypte,1997,54395,ha
Afrique,Egypte,1998,56082,ha
Afrique,Egypte,1999,63793,ha
Afrique,Egypte,2000,64285,ha
Afrique,Egypte,2001,67080,ha
Afrique,Egypte,2002,60523,ha
Afrique,Egypte,2003,61505,ha
Afrique,Egypte,2004,62557,ha
Afrique,Egypte,2005,65296,ha
Afrique,Egypte,2006,66489,ha
Afrique,Egypte,2007,67499,ha
Afrique,Egypte,2008,69520,ha
Afrique,Egypte,2009,68755,ha
Afrique,Egypte,2010,68837,ha
Afrique,Egypte,2011,69698,ha
Afrique,Egypte,2012,71232,ha
Afrique,Egypte,2013,74186,ha
Afrique,Egypte,2014,77604,ha
Afrique,Egypte,2015,80545,ha
Afrique,Egypte,2016,83224,ha
Afrique,Egypte,2017,84083,ha
Afrique,Egypte,2018,80119,ha
Afrique,Egypte,2019,78852,ha
Amérique,Equateur,1995,60,ha
Amérique,Equateur,1996,75,ha
Amérique,Equateur,1997,161,ha
Amérique,Equateur,1998,96,ha
Amérique,Equateur,1999,78,ha
Amérique,Equateur,2000,115,ha
Amérique,Equateur,2001,86,ha
Amérique,Equateur,2002,81,ha
Amérique,Equateur,2003,96,ha
Amérique,Equateur,2004,66,ha
Amérique,Equateur,2005,83,ha
Amérique,Equateur,2006,86,ha
Amérique,Equateur,2007,91,ha
Amérique,Equateur,2008,65,ha
Amérique,Equateur,2009,70,ha
Amérique,Equateur,2010,81,ha
Amérique,Equateur,2011,83,ha
Amérique,Equateur,2012,82,ha
Amérique,Equateur,2013,82,ha
Amérique,Equateur,2014,84,ha
Amérique,Equateur,2015,84,ha
Amérique,Equateur,2016,84,ha
Amérique,Equateur,2017,84,ha
Amérique,Equateur,2018,84,ha
Amérique,Equateur,2019,84,ha
Europe,Espagne,1995,1196110,ha
Europe,Espagne,1996,1161789,ha
Europe,Espagne,1997,1168475,ha
Europe,Espagne,1998,1171363,ha
Europe,Espagne,1999,1179532,ha
Europe,Espagne,2000,1168891,ha
Europe,Espagne,2001,1151076,ha
Europe,Espagne,2002,1141700,ha
Europe,Espagne,2003,1147399,ha
Europe,Espagne,2004,1140976,ha
Europe,Espagne,2005,1128035,ha
Europe,Espagne,2006,1121699,ha
Europe,Espagne,2007,1117859,ha
Europe,Espagne,2008,1118359,ha
Europe,Espagne,2009,1068621,ha
Europe,Espagne,2010,1036588,ha
Europe,Espagne,2011,985166,ha
Europe,Espagne,2012,969414,ha
Europe,Espagne,2013,973004,ha
Europe,Espagne,2014,974869,ha
Europe,Espagne,2015,974428,ha
Europe,Espagne,2016,975270,ha
Europe,Espagne,2017,968100,ha
Europe,Espagne,2018,971585,ha
Europe,Espagne,2019,966442,ha
Asie,Etat De Palestine,1995,8200,ha
Asie,Etat De Palestine,1996,8941,ha
Asie,Etat De Palestine,1997,8993,ha
Asie,Etat De Palestine,1998,8041,ha
Asie,Etat De Palestine,1999,7275,ha
Asie,Etat De Palestine,2000,7913,ha
Asie,Etat De Palestine,2001,7743,ha
Asie,Etat De Palestine,2002,8482,ha
Asie,Etat De Palestine,2003,8041,ha
Asie,Etat De Palestine,2004,8182,ha
Asie,Etat De Palestine,2005,8194,ha
Asie,Etat De Palestine,2006,7716,ha
Asie,Etat De Palestine,2007,9045,ha
Asie,Etat De Palestine,2008,7955,ha
Asie,Etat De Palestine,2009,5375,ha
Asie,Etat De Palestine,2010,2301,ha
Asie,Etat De Palestine,2011,4099,ha
Asie,Etat De Palestine,2012,4668,ha
Asie,Etat De Palestine,2013,4974,ha
Asie,Etat De Palestine,2014,4838,ha
Asie,Etat De Palestine,2015,3935,ha
Asie,Etat De Palestine,2016,4107,ha
Asie,Etat De Palestine,2017,3894,ha
Asie,Etat De Palestine,2018,3650,ha
Asie,Etat De Palestine,2019,3423,ha
Amérique,Etats-unis,1995,340460,ha
Amérique,Etats-unis,1996,351858,ha
